date,n1,n2,n3,n4,n5
2007/1/1,27,38,9,11,28
2007/1/2,33,2,37,12,36
2007/1/3,23,22,30,29,27
2007/1/4,23,39,32,9,3
2007/1/5,26,13,12,9,15
2007/1/8,11,24,13,8,39
2007/1/9,8,17,28,14,5
2007/1/10,34,5,30,38,35
2007/1/11,37,15,18,20,7
2007/1/12,26,23,21,6,33
2007/1/15,15,13,20,25,1
2007/1/16,27,6,13,31,32
2007/1/17,30,27,26,11,25
2007/1/18,22,28,10,20,15
2007/1/19,21,17,10,11,38
2007/1/22,10,13,15,39,28
2007/1/23,17,39,30,24,7
2007/1/24,15,34,23,4,3
2007/1/25,10,24,8,14,21
2007/1/26,36,10,6,37,8
2007/1/29,17,3,38,11,8
2007/1/30,15,10,27,12,5
2007/1/31,15,3,4,34,29
2007/2/1,18,36,25,26,13
2007/2/2,6,12,11,35,15
2007/2/5,16,19,3,31,20
2007/2/6,39,29,2,13,14
2007/2/7,7,11,23,32,35
2007/2/8,10,31,39,5,37
2007/2/9,20,25,27,16,7
2007/2/12,34,15,23,13,16
2007/2/13,28,2,34,22,29
2007/2/14,28,23,20,15,1
2007/2/15,33,28,6,27,24
2007/2/16,32,28,37,29,24
2007/2/19,24,34,9,37,12
2007/2/20,4,36,31,6,17
2007/2/21,20,18,8,34,32
2007/2/22,9,20,17,21,37
2007/2/23,19,9,12,25,16
2007/2/26,23,25,6,20,28
2007/2/27,19,9,12,34,23
2007/2/28,38,21,22,11,9
2007/3/1,3,18,31,2,12
2007/3/2,22,33,7,23,37
2007/3/5,21,25,5,19,11
2007/3/6,12,16,17,19,34
2007/3/7,2,34,12,30,19
2007/3/8,20,31,7,34,11
2007/3/9,31,30,2,38,17
2007/3/12,25,38,27,8,15
2007/3/13,16,9,18,22,6
2007/3/14,39,6,16,37,9
2007/3/15,21,33,7,1,27
2007/3/16,26,38,2,18,1
2007/3/19,20,24,39,28,5
2007/3/20,18,22,14,2,10
2007/3/21,37,6,38,14,34
2007/3/22,36,25,7,26,34
2007/3/23,19,32,29,12,20
2007/3/26,32,36,33,26,27
2007/3/27,20,38,11,37,36
2007/3/28,9,28,34,25,37
2007/3/29,27,23,8,29,22
2007/3/30,6,19,22,33,37
2007/4/2,7,1,33,35,21
2007/4/3,29,31,13,10,11
2007/4/4,34,30,1,19,35
2007/4/5,21,22,23,36,7
2007/4/6,4,12,7,33,34
2007/4/9,11,32,30,39,34
2007/4/10,8,9,30,39,6
2007/4/11,39,25,37,26,31
2007/4/12,25,11,1,9,17
2007/4/13,24,37,22,27,32
2007/4/16,14,28,36,18,26
2007/4/17,11,24,32,31,2
2007/4/18,22,39,3,38,12
2007/4/19,22,14,36,1,20
2007/4/20,6,3,22,37,39
2007/4/23,10,7,13,2,30
2007/4/24,9,4,1,16,6
2007/4/25,19,13,15,37,29
2007/4/26,15,5,32,39,7
2007/4/27,21,10,8,23,39
2007/4/30,17,4,29,7,12
2007/5/1,1,34,22,10,39
2007/5/2,37,23,4,34,39
2007/5/3,18,5,37,25,1
2007/5/4,8,9,12,7,14
2007/5/7,9,27,28,18,4
2007/5/8,18,33,23,10,2
