"3星母艦(X,Y)","2星本命(X,Y)",絕對狙擊雙膽組合,歷史總產生,歷史總命中,回測期望真實勝率,常態性判定
"(5, 5)","(12, 11)","(5, 10)",3,3,100.0%,🔥 絕對斷腿王
"(5, 4)","(9, 8)","(26, 32)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(11, 6)","(27, 36)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(11, 12)","(5, 19)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(12, 9)","(12, 15)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(12, 11)","(4, 24)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(12, 11)","(4, 24)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(8, 5)","(4, 18)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(13, 11)","(15, 39)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(13, 11)","(15, 39)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(7, 8)","(18, 39)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 7)","(5, 7)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(6, 6)","(19, 39)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(12, 11)","(35, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(9, 10)","(23, 25)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(9, 13)","(25, 32)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(9, 9)","(16, 25)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(9, 9)","(16, 25)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(9, 10)","(12, 25)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 10)","(8, 14)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(11, 8)","(5, 8)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(7, 10)","(14, 35)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 9)","(3, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(8, 10)","(11, 26)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(15, 11)","(8, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(15, 11)","(8, 37)",2,2,100.0%,🔥 絕對斷腿王
"(7, 8)","(11, 11)","(13, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(17, 13)","(20, 38)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(17, 13)","(20, 38)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 7)","(12, 30)",2,2,100.0%,🔥 絕對斷腿王
"(7, 6)","(11, 17)","(22, 36)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(14, 11)","(35, 36)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(14, 11)","(35, 36)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(11, 12)","(29, 35)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(13, 13)","(5, 8)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(9, 9)","(8, 29)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(11, 11)","(9, 31)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(7, 9)","(5, 33)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(8, 9)","(21, 23)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(14, 15)","(6, 15)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(14, 15)","(6, 15)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(10, 9)","(20, 26)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(14, 14)","(18, 23)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(13, 11)","(24, 36)",2,2,100.0%,🔥 絕對斷腿王
"(8, 6)","(13, 11)","(24, 36)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(6, 5)","(3, 24)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(11, 14)","(24, 35)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(14, 11)","(10, 34)",2,2,100.0%,🔥 絕對斷腿王
"(7, 3)","(14, 11)","(10, 34)",2,2,100.0%,🔥 絕對斷腿王
"(7, 3)","(11, 8)","(15, 31)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(10, 8)","(2, 24)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(12, 9)","(32, 39)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(9, 8)","(22, 24)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(11, 9)","(24, 36)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(7, 7)","(9, 34)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(11, 13)","(34, 38)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(8, 7)","(7, 34)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(6, 7)","(12, 19)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(7, 5)","(18, 26)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(11, 11)","(10, 20)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(6, 7)","(32, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(9, 8)","(5, 32)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(10, 7)","(13, 22)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(10, 7)","(13, 22)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(13, 13)","(18, 22)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(13, 13)","(18, 22)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(7, 7)","(13, 18)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(15, 15)","(5, 17)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(15, 15)","(5, 17)",2,2,100.0%,🔥 絕對斷腿王
"(7, 8)","(15, 15)","(5, 17)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(14, 14)","(5, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(14, 14)","(5, 37)",2,2,100.0%,🔥 絕對斷腿王
"(6, 5)","(14, 14)","(5, 37)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(6, 9)","(5, 28)",2,2,100.0%,🔥 絕對斷腿王
"(7, 6)","(10, 10)","(5, 31)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 9)","(28, 31)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(7, 6)","(30, 34)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 14)","(1, 17)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(12, 11)","(11, 28)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(14, 12)","(23, 27)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(9, 12)","(23, 29)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(14, 10)","(20, 34)",2,2,100.0%,🔥 絕對斷腿王
"(5, 4)","(10, 11)","(28, 34)",2,2,100.0%,🔥 絕對斷腿王
"(5, 5)","(10, 10)","(16, 35)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(10, 10)","(5, 35)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(7, 8)","(6, 14)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(8, 8)","(5, 23)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(9, 8)","(13, 34)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(8, 6)","(21, 37)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(11, 7)","(7, 31)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(11, 8)","(12, 39)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(13, 13)","(5, 8)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(14, 11)","(10, 34)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(7, 8)","(12, 25)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(9, 7)","(6, 29)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(8, 6)","(19, 39)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(8, 10)","(23, 27)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(13, 11)","(24, 36)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(12, 10)","(4, 34)",3,2,66.67%,🔥 絕對斷腿王
"(6, 5)","(12, 11)","(11, 28)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(9, 10)","(5, 29)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(13, 12)","(12, 28)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(7, 7)","(19, 22)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(11, 9)","(14, 16)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(8, 8)","(15, 18)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(11, 11)","(27, 35)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(9, 7)","(14, 25)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(10, 10)","(18, 38)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(8, 9)","(7, 30)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(7, 6)","(8, 26)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(9, 10)","(37, 39)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(8, 9)","(21, 23)",3,2,66.67%,🔥 絕對斷腿王
"(6, 5)","(10, 10)","(4, 9)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(12, 10)","(3, 25)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(12, 10)","(3, 25)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(10, 10)","(11, 38)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(7, 8)","(6, 14)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(9, 7)","(2, 5)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(10, 10)","(5, 31)",3,2,66.67%,🔥 絕對斷腿王
"(5, 5)","(10, 8)","(1, 38)",3,2,66.67%,🔥 絕對斷腿王
"(5, 4)","(10, 9)","(21, 36)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(8, 9)","(3, 6)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(8, 9)","(8, 39)",4,2,50.0%,🔥 絕對斷腿王
"(5, 5)","(8, 9)","(8, 39)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(8, 7)","(7, 23)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(10, 10)","(4, 9)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(10, 9)","(21, 33)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(11, 9)","(24, 36)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(12, 9)","(12, 15)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(7, 7)","(20, 37)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(9, 8)","(17, 20)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(7, 5)","(10, 36)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(12, 9)","(8, 28)",4,2,50.0%,🔥 絕對斷腿王
"(5, 5)","(8, 8)","(2, 35)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(7, 7)","(8, 13)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(7, 6)","(14, 24)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(12, 11)","(29, 32)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(9, 8)","(1, 11)",4,2,50.0%,🔥 絕對斷腿王
"(5, 5)","(10, 12)","(32, 36)",4,2,50.0%,🔥 絕對斷腿王
"(5, 4)","(9, 9)","(29, 37)",5,2,40.0%,🔥 絕對斷腿王
"(5, 4)","(10, 8)","(25, 36)",5,2,40.0%,🔥 絕對斷腿王
"(5, 5)","(10, 11)","(17, 35)",5,2,40.0%,🔥 絕對斷腿王
"(5, 4)","(11, 10)","(27, 37)",5,2,40.0%,🔥 絕對斷腿王
"(5, 5)","(8, 9)","(9, 38)",5,2,40.0%,🔥 絕對斷腿王
"(5, 4)","(8, 8)","(14, 21)",5,2,40.0%,🔥 絕對斷腿王
"(5, 5)","(9, 12)","(17, 37)",5,2,40.0%,🔥 絕對斷腿王
"(5, 5)","(10, 9)","(21, 36)",6,2,33.33%,🔥 絕對斷腿王
"(5, 5)","(8, 9)","(12, 37)",6,2,33.33%,🔥 絕對斷腿王
"(5, 4)","(9, 9)","(28, 37)",6,2,33.33%,🔥 絕對斷腿王
"(5, 4)","(10, 8)","(2, 24)",6,2,33.33%,🔥 絕對斷腿王
"(5, 4)","(13, 11)","(8, 19)",7,2,28.57%,🔥 絕對斷腿王
"(5, 4)","(8, 6)","(38, 39)",9,2,22.22%,🔥 絕對斷腿王
"(5, 4)","(8, 7)","(8, 17)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 9)","(1, 37)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 12)","(19, 37)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 12)","(19, 37)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 10)","(19, 22)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(11, 10)","(19, 22)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(9, 9)","(1, 22)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 11)","(22, 37)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(12, 11)","(29, 31)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(15, 12)","(27, 29)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 7)","(11, 31)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 8)","(11, 29)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 7)","(7, 38)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(8, 10)","(11, 20)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(12, 8)","(12, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(12, 8)","(12, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 14)","(11, 32)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 14)","(11, 32)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 15)","(11, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 15)","(11, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(17, 18)","(11, 12)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(17, 18)","(11, 12)",1,1,100.0%,🌟 潛力雙膽
"(8, 6)","(17, 18)","(11, 12)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(15, 10)","(12, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(6, 8)","(29, 37)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(15, 10)","(4, 5)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(15, 10)","(4, 5)",1,1,100.0%,🌟 潛力雙膽
"(7, 3)","(15, 10)","(4, 5)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(14, 10)","(15, 20)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(14, 10)","(15, 20)",1,1,100.0%,🌟 潛力雙膽
"(7, 3)","(14, 10)","(15, 20)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 8)","(20, 39)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 11)","(9, 17)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 13)","(30, 39)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(11, 13)","(30, 39)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(11, 9)","(7, 30)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(12, 12)","(8, 34)",1,1,100.0%,🌟 潛力雙膽
"(7, 3)","(12, 12)","(8, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 14)","(8, 16)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 14)","(2, 8)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 14)","(2, 8)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(9, 7)","(25, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 9)","(29, 37)",1,1,100.0%,🌟 潛力雙膽
