落球次數(X),大小次數(Y),歷史總遇見次數,實際開出次數,真實勝率(%)
31,32,187,28,14.97
34,27,47,7,14.89
26,27,289,43,14.88
18,21,74,11,14.86
18,23,54,8,14.81
33,35,115,17,14.78
26,26,326,48,14.72
34,32,163,24,14.72
20,21,163,24,14.72
26,29,279,41,14.7
26,31,143,21,14.69
19,22,116,17,14.66
30,29,239,35,14.64
30,35,82,12,14.63
30,36,41,6,14.63
37,32,41,6,14.63
23,24,275,40,14.55
28,33,110,16,14.55
34,29,90,13,14.44
28,25,230,33,14.35
29,23,105,15,14.29
30,23,56,8,14.29
36,40,21,3,14.29
15,22,14,2,14.29
38,42,14,2,14.29
15,15,14,2,14.29
40,45,7,1,14.29
42,36,7,1,14.29
16,13,7,1,14.29
41,33,7,1,14.29
26,17,7,1,14.29
14,18,7,1,14.29
40,31,7,1,14.29
43,40,7,1,14.29
26,32,85,12,14.12
25,27,265,37,13.96
34,39,36,5,13.89
31,30,217,30,13.82
25,22,181,25,13.81
25,28,239,33,13.81
31,28,174,24,13.79
32,29,182,25,13.74
31,31,255,35,13.73
32,28,154,21,13.64
20,22,132,18,13.64
37,31,44,6,13.64
24,33,22,3,13.64
30,33,147,20,13.61
32,32,192,26,13.54
23,21,185,25,13.51
34,38,37,5,13.51
31,35,89,12,13.48
25,29,208,28,13.46
34,31,119,16,13.45
24,26,268,36,13.43
27,24,201,27,13.43
34,30,134,18,13.43
26,23,217,29,13.36
29,26,240,32,13.33
31,36,60,8,13.33
24,17,30,4,13.33
37,40,15,2,13.33
29,32,188,25,13.3
27,29,294,39,13.27
22,29,53,7,13.21
33,26,53,7,13.21
26,28,281,37,13.17
24,18,38,5,13.16
24,25,274,36,13.14
28,30,237,31,13.08
27,31,161,21,13.04
20,28,23,3,13.04
34,34,131,17,12.98
20,17,54,7,12.96
23,28,139,18,12.95
25,26,310,40,12.9
23,30,62,8,12.9
33,31,163,21,12.88
23,19,101,13,12.87
16,17,39,5,12.82
32,34,164,21,12.8
26,19,47,6,12.77
38,33,47,6,12.77
36,36,63,8,12.7
29,35,63,8,12.7
24,29,150,19,12.67
31,25,119,15,12.61
31,33,184,23,12.5
25,21,104,13,12.5
18,16,32,4,12.5
22,30,32,4,12.5
40,37,24,3,12.5
17,15,24,3,12.5
28,36,24,3,12.5
35,27,24,3,12.5
26,18,16,2,12.5
34,23,8,1,12.5
42,34,8,1,12.5
26,36,8,1,12.5
42,40,8,1,12.5
25,35,8,1,12.5
37,27,8,1,12.5
29,39,8,1,12.5
17,13,8,1,12.5
21,31,8,1,12.5
26,25,322,40,12.42
24,27,242,30,12.4
27,22,113,14,12.39
30,27,235,29,12.34
28,34,73,9,12.33
35,37,65,8,12.31
33,37,65,8,12.31
36,37,65,8,12.31
30,30,293,36,12.29
17,20,57,7,12.28
29,28,278,34,12.23
21,21,164,20,12.2
31,37,41,5,12.2
31,29,238,29,12.18
24,30,74,9,12.16
27,28,298,36,12.08
35,31,83,10,12.05
23,23,241,29,12.03
27,27,326,39,11.96
29,29,318,38,11.95
18,19,84,10,11.9
18,17,42,5,11.9
17,21,42,5,11.9
28,35,42,5,11.9
29,27,295,35,11.86
34,28,59,7,11.86
27,33,76,9,11.84
18,20,85,10,11.76
37,35,51,6,11.76
19,26,34,4,11.76
27,36,17,2,11.76
19,20,111,13,11.71
34,35,94,11,11.7
25,23,231,27,11.69
17,19,52,6,11.54
33,29,113,13,11.5
24,28,200,23,11.5
29,30,287,33,11.5
28,29,270,31,11.48
24,23,253,29,11.46
21,23,192,22,11.46
30,25,131,15,11.45
37,36,70,8,11.43
35,30,70,8,11.43
22,16,35,4,11.43
39,37,35,4,11.43
31,23,35,4,11.43
31,24,53,6,11.32
27,32,115,13,11.3
37,33,71,8,11.27
30,24,98,11,11.22
28,26,268,30,11.19
33,34,143,16,11.19
25,18,18,2,11.11
40,33,18,2,11.11
14,15,9,1,11.11
41,41,9,1,11.11
31,34,118,13,11.02
32,35,118,13,11.02
27,25,282,31,10.99
35,32,110,12,10.91
22,22,221,24,10.86
22,27,112,12,10.71
32,27,131,14,10.69
29,25,197,21,10.66
23,26,208,22,10.58
28,24,190,20,10.53
35,35,95,10,10.53
36,38,38,4,10.53
15,19,19,2,10.53
41,37,19,2,10.53
38,35,48,5,10.42
33,32,164,17,10.37
24,19,68,7,10.29
20,19,107,11,10.28
