落球次數(X),大小次數(Y),歷史總遇見次數,實際開出次數,真實勝率(%)
35,25,5,5,100
41,31,2,2,100
39,45,2,2,100
31,19,1,1,100
48,42,1,1,100
47,47,1,1,100
28,16,1,1,100
26,15,1,1,100
40,47,1,1,100
44,45,1,1,100
43,41,1,1,100
17,9,1,1,100
45,42,1,1,100
40,29,1,1,100
13,27,1,1,100
14,11,1,1,100
32,46,1,1,100
29,41,1,1,100
35,45,1,1,100
11,18,1,1,100
32,42,4,3,75
37,44,3,2,66.67
33,21,3,2,66.67
35,21,3,2,66.67
15,11,4,2,50
14,13,4,2,50
13,17,2,1,50
44,43,2,1,50
44,42,2,1,50
37,47,2,1,50
44,41,2,1,50
45,40,2,1,50
18,31,2,1,50
38,47,2,1,50
15,12,2,1,50
42,31,2,1,50
15,13,7,3,42.86
19,29,7,3,42.86
36,43,5,2,40
18,27,5,2,40
19,14,8,3,37.5
42,37,11,4,36.36
31,40,12,4,33.33
23,16,12,4,33.33
39,41,9,3,33.33
15,21,6,2,33.33
42,42,6,2,33.33
25,16,6,2,33.33
14,21,3,1,33.33
18,13,3,1,33.33
29,40,3,1,33.33
26,16,3,1,33.33
39,33,26,8,30.77
25,17,13,4,30.77
30,38,10,3,30
38,30,14,4,28.57
40,39,14,4,28.57
42,39,7,2,28.57
39,42,7,2,28.57
27,17,7,2,28.57
18,18,66,18,27.27
40,36,33,9,27.27
39,35,26,7,26.92
33,39,26,7,26.92
21,15,15,4,26.67
37,37,50,13,26
33,23,12,3,25
13,14,4,1,25
42,35,4,1,25
36,24,4,1,25
39,29,4,1,25
40,30,4,1,25
21,14,4,1,25
20,31,4,1,25
12,15,4,1,25
41,42,4,1,25
28,21,49,12,24.49
20,26,62,15,24.19
16,18,34,8,23.53
32,40,17,4,23.53
17,24,17,4,23.53
30,20,13,3,23.08
38,36,53,12,22.64
25,31,85,19,22.35
18,15,18,4,22.22
19,28,9,2,22.22
41,34,9,2,22.22
24,20,96,21,21.88
34,24,14,3,21.43
20,23,115,24,20.87
33,30,144,30,20.83
17,18,53,11,20.75
24,32,39,8,20.51
19,18,65,13,20
35,38,45,9,20
34,26,30,6,20
30,39,10,2,20
34,42,10,2,20
25,37,5,1,20
13,18,5,1,20
28,17,5,1,20
14,20,5,1,20
43,38,5,1,20
12,12,5,1,20
35,43,5,1,20
32,41,5,1,20
30,18,5,1,20
21,20,156,31,19.87
19,23,76,15,19.74
20,25,76,15,19.74
38,40,31,6,19.35
24,31,57,11,19.3
32,36,59,11,18.64
36,30,59,11,18.64
23,25,274,51,18.61
34,36,82,15,18.29
38,37,33,6,18.18
28,37,11,2,18.18
21,32,11,2,18.18
23,20,133,24,18.05
22,17,39,7,17.95
22,20,140,25,17.86
27,35,28,5,17.86
21,18,73,13,17.81
40,38,17,3,17.65
37,28,17,3,17.65
36,35,91,16,17.58
15,16,23,4,17.39
22,19,87,15,17.24
37,38,35,6,17.14
26,30,193,33,17.1
26,24,287,49,17.07
21,19,88,15,17.05
17,22,47,8,17.02
25,24,267,45,16.85
28,27,298,50,16.78
30,26,185,31,16.76
37,34,60,10,16.67
25,19,42,7,16.67
16,19,30,5,16.67
16,16,24,4,16.67
38,39,24,4,16.67
16,22,18,3,16.67
14,16,12,2,16.67
41,38,12,2,16.67
33,40,12,2,16.67
20,14,6,1,16.67
24,35,6,1,16.67
17,12,6,1,16.67
37,42,6,1,16.67
18,28,6,1,16.67
30,19,6,1,16.67
16,24,6,1,16.67
29,33,133,22,16.54
23,27,213,35,16.43
27,21,61,10,16.39
26,22,171,28,16.37
32,30,208,34,16.35
29,36,43,7,16.28
33,38,43,7,16.28
21,26,111,18,16.22
32,26,87,14,16.09
36,33,87,14,16.09
29,24,156,25,16.03
32,39,25,4,16
29,31,213,34,15.96
28,23,113,18,15.93
20,18,88,14,15.91
26,20,44,7,15.91
17,16,38,6,15.79
19,15,19,3,15.79
37,39,19,3,15.79
25,34,19,3,15.79
18,26,19,3,15.79
39,40,19,3,15.79
34,33,160,25,15.62
21,27,64,10,15.62
30,37,39,6,15.38
20,16,39,6,15.38
36,39,26,4,15.38
39,30,13,2,15.38
40,32,13,2,15.38
26,35,13,2,15.38
22,32,13,2,15.38
28,32,190,29,15.26
25,25,322,49,15.22
35,28,46,7,15.22
22,23,263,40,15.21
30,28,237,36,15.19
30,31,257,39,15.18
27,23,165,25,15.15
17,17,33,5,15.15
33,33,146,22,15.07
32,31,213,32,15.02
33,36,100,15,15
21,16,20,3,15
40,35,20,3,15
29,37,20,3,15
