星數,落球次數(X),大小次數(Y),,
3,0,4,,
3,0,5,,
3,0,6,,
3,0,7,,
3,1,5,,
3,1,6,,
3,1,7,,
3,1,8,,
3,2,7,,
3,2,8,,
3,3,7,,
3,3,8,,
3,3,9,,
3,3,10,,
3,4,6,,
3,4,7,,
3,4,8,,
3,4,9,,
3,4,10,,
3,5,0,,
3,5,8,,
3,5,9,,
3,5,10,,
3,6,0,,
3,6,1,,
3,6,2,,
3,6,6,,
3,6,7,,
3,6,8,,
3,7,0,,
3,7,1,,
3,7,2,,
3,7,3,,
3,7,4,,
3,7,5,,
3,7,7,,
3,7,8,,
3,7,9,,
3,8,2,,
3,8,3,,
3,8,4,,
3,8,5,,
3,8,6,,
3,8,7,,
3,8,8,,
3,8,9,,
3,9,4,,
3,9,5,,
3,9,6,,
3,9,7,,
3,9,8,,
3,9,9,,
3,10,5,,
3,10,8,,
2,0,1,,
2,0,2,,
2,0,5,,
2,0,6,,
2,0,7,,
2,1,0,,
2,1,7,,
2,1,8,,
2,1,9,,
2,2,8,,
2,2,9,,
2,3,8,,
2,3,9,,
2,3,10,,
2,3,11,,
2,3,12,,
2,4,0,,
2,4,11,,
2,4,12,,
2,4,13,,
2,5,0,,
2,5,1,,
2,5,11,,
2,5,12,,
2,5,14,,
2,6,0,,
2,6,12,,
2,6,13,,
2,6,14,,
2,7,1,,
2,7,12,,
2,7,14,,
2,7,15,,
2,7,16,,
2,8,1,,
2,8,14,,
2,8,15,,
2,8,16,,
2,8,17,,
2,8,18,,
2,9,1,,
2,9,2,,
2,9,3,,
2,9,16,,
2,10,2,,
2,10,3,,
2,10,15,,
2,10,16,,
2,10,17,,
2,11,2,,
2,11,3,,
2,11,5,,
2,11,16,,
2,11,17,,
2,11,18,,
2,12,2,,
2,12,3,,
2,12,4,,
2,12,5,,
2,12,6,,
2,12,7,,
2,12,14,,
2,12,15,,
2,12,16,,
2,12,17,,
2,12,18,,
2,13,5,,
2,13,6,,
2,13,13,,
2,13,15,,
2,13,16,,
2,13,17,,
2,13,18,,
2,14,7,,
2,14,13,,
2,14,16,,
2,14,17,,
2,14,18,,
2,14,19,,
2,15,5,,
2,15,7,,
2,15,8,,
2,15,9,,
2,15,11,,
2,15,12,,
2,15,13,,
2,15,16,,
2,15,17,,
2,15,18,,
2,15,19,,
2,16,6,,
2,16,8,,
2,16,9,,
2,16,10,,
2,16,11,,
2,16,12,,
2,16,14,,
2,16,15,,
2,16,16,,
2,16,17,,
2,16,18,,
2,17,7,,
2,17,9,,
2,17,10,,
2,17,11,,
2,17,12,,
2,17,13,,
2,17,14,,
2,17,15,,
2,17,16,,
2,17,17,,
2,17,18,,
2,18,10,,
2,18,12,,
2,18,14,,
2,18,15,,
2,18,16,,
2,18,17,,
2,19,12,,
2,19,13,,
2,19,14,,
2,19,16,,
2,19,17,,
2,19,18,,
2,20,15,,
2,20,18,,
2,21,16,,
4,0,3,,
4,0,4,,
4,0,5,,
4,1,3,,
4,1,4,,
4,1,5,,
4,1,7,,
4,2,3,,
4,2,4,,
4,2,5,,
4,2,6,,
4,3,0,,
4,3,1,,
4,3,3,,
4,3,4,,
4,3,5,,
4,4,0,,
4,4,1,,
4,4,2,,
4,4,3,,
4,4,4,,
4,4,5,,
4,4,6,,
4,5,0,,
4,5,1,,
4,5,2,,
4,5,3,,
4,5,4,,
4,5,5,,
4,6,3,,
4,6,6,,
4,7,4,,
5,0,2,,
5,0,3,,
5,0,4,,
5,1,1,,
5,1,2,,
5,1,3,,
5,1,4,,
5,2,0,,
5,2,1,,
5,2,2,,
5,2,3,,
5,2,4,,
5,3,0,,
5,3,1,,
5,3,2,,
5,3,3,,
5,3,4,,
5,4,0,,
5,4,1,,
5,4,2,,
5,4,3,,
