星數,落球次數(X),大小次數(Y),總出現次數,命中次數
3,0,1,89467,96
3,0,2,25702,29
3,0,3,5140,7
3,1,0,88841,99
3,1,1,178567,203
3,1,2,86998,100
3,1,3,23699,34
3,1,4,4635,6
3,2,0,25559,28
3,2,1,86749,78
3,2,2,97290,95
3,2,3,42872,49
3,2,4,11145,10
3,2,5,2074,1
3,2,6,311,1
3,3,0,5131,1
3,3,1,23684,32
3,3,2,42710,46
3,3,3,34563,46
3,3,4,13959,14
3,3,5,3630,3
3,3,6,621,1
3,4,0,761,1
3,4,1,4561,3
3,4,2,11145,10
3,4,3,13904,9
3,4,4,9492,6
3,4,5,3474,6
3,5,1,710,1
3,5,2,2107,2
3,5,3,3575,3
3,5,4,3454,3
3,5,5,2058,3
3,5,6,723,2
3,5,7,180,1
3,6,3,655,2
3,6,4,843,2
3,6,5,675,1
3,7,6,113,1
2,0,3,37,1
2,0,4,16,1
2,1,1,192,7
2,1,2,299,4
2,1,3,250,4
2,1,4,152,2
2,1,5,92,1
2,1,6,36,1
2,2,0,38,1
2,2,1,286,4
2,2,2,635,6
2,2,3,792,14
2,2,4,693,13
2,2,5,412,7
2,2,6,208,4
2,2,7,88,1
2,3,0,31,2
2,3,1,245,3
2,3,2,792,12
2,3,3,1424,37
2,3,4,1590,17
2,3,5,1208,15
2,3,6,728,10
2,3,7,346,1
2,4,1,172,1
2,4,2,629,7
2,4,3,1589,26
2,4,4,2302,31
2,4,5,2283,30
2,4,6,1635,21
2,4,7,967,12
2,4,8,477,9
2,4,9,182,5
2,4,10,70,2
2,5,2,381,4
2,5,3,1291,16
2,5,4,2215,29
2,5,5,2801,50
2,5,6,2616,30
2,5,7,1761,20
2,5,8,1079,15
2,5,9,465,8
2,5,10,182,2
2,5,13,4,1
2,6,1,41,1
2,6,2,186,1
2,6,3,721,14
2,6,4,1642,15
2,6,5,2636,33
2,6,6,3012,36
2,6,7,2534,26
2,6,8,1650,25
2,6,9,887,15
2,6,10,397,4
2,6,11,144,1
2,7,2,90,1
2,7,3,354,5
2,7,4,965,14
2,7,5,1871,22
2,7,6,2543,31
2,7,7,2613,46
2,7,8,2071,26
2,7,9,1329,25
2,7,10,731,11
2,7,11,278,2
2,7,13,40,1
2,8,2,26,1
2,8,3,146,2
2,8,4,453,5
2,8,5,1069,14
2,8,6,1633,25
2,8,7,1998,26
2,8,8,1931,25
2,8,9,1469,21
2,8,10,929,13
2,8,11,439,10
2,8,12,192,4
2,8,13,71,2
2,9,4,155,3
2,9,5,486,4
2,9,6,857,7
2,9,7,1245,19
2,9,8,1521,18
2,9,9,1397,12
2,9,10,968,13
2,9,11,522,3
2,9,12,263,4
2,9,13,100,2
2,9,14,36,1
2,9,15,19,1
2,10,4,52,1
2,10,5,173,3
2,10,6,387,6
2,10,7,676,11
2,10,8,864,10
2,10,9,951,9
2,10,10,793,14
2,10,11,500,5
2,10,12,296,5
2,10,13,142,2
2,10,14,59,1
2,11,4,14,1
2,11,6,155,2
2,11,7,285,1
2,11,8,424,3
2,11,9,531,12
2,11,10,471,7
2,11,11,426,5
2,11,12,261,3
2,11,13,153,1
2,11,14,72,1
2,11,15,34,2
2,12,8,215,1
2,12,9,263,2
2,12,10,305,4
2,12,11,236,3
2,12,12,215,1
2,12,13,112,1
2,13,7,40,1
2,13,8,55,1
2,13,9,125,1
2,13,10,123,1
2,13,11,158,3
2,13,12,120,2
2,13,14,56,1
2,14,6,6,1
2,14,8,21,2
2,14,9,43,1
2,14,10,60,2
2,14,11,79,1
2,14,12,71,1
2,14,14,40,1
2,14,15,36,1
2,15,10,31,1
2,15,14,25,1
2,15,15,15,2
2,16,13,18,1
2,18,13,2,1
4,0,1,879501,62
4,0,2,58789,4
4,1,0,877326,58
4,1,1,1050130,58
4,1,2,131345,8
4,2,0,58852,1
4,2,1,130804,10
4,2,2,82568,3
4,3,2,10235,1
5,0,1,1674866,3
5,1,0,1671836,4
